date,hamon WEB,macron WEB,fillon WEB,le pen WEB,mélenchon WEB,query,time
"Mar 22, 2017","5.87025948103792","18.0450099800399","20.0390219560878","20.9601796407186","27.0855289421158","age","30"
"Mar 23, 2017","3.51444195290409","19.6581140198396","23.3458715755806","25.5312807096834","19.9502917419923","age","30"
"Mar 24, 2017","4.33142340947219","10.361285327139","47.8517658192455","18.9652213188798","10.4903041252635","age","30"
"Mar 25, 2017","4.50329372726811","10.5185556957404","37.1174363738036","18.2900069784316","21.5707072247563","age","30"
"Mar 26, 2017","5.18098968895221","14.1162861301066","25.8172357669099","20.9723608431759","25.9131275708554","age","30"
"Mar 27, 2017","7.48293391430645","14.2744838676211","23.4426289034132","29.7539682539682","17.0459850606909","age","30"
"Mar 28, 2017","4.96548837808254","13.7457987251304","26.5245637756744","30.721460305196","16.0426888159166","age","30"
"Mar 29, 2017","9.3512303716955","15.4953528125621","18.8421705426357","25.4288292585967","22.88241701451","age","30"
"Mar 30, 2017","9.67799642218246","15.5153249850924","23.3358775591334","24.6801828662294","18.7906181673624","age","30"
"Mar 31, 2017","6.86476213870645","17.2821813574706","21.998336069388","25.9946675264129","19.8600529080221","age","30"
"Apr 1, 2017","8.02388853648264","27.4784467307874","14.8896918937968","24.3078513705165","17.3001214684167","age","30"
"Apr 2, 2017","7.29218901862481","15.7497073245816","13.656346724718","24.399006090991","30.9027508410845","age","30"
"Apr 3, 2017","7.01877888789672","16.6160949460572","20.5462416951684","28.0270963557023","19.7917881151753","age","30"
"Apr 4, 2017","8.90266597247253","16.3551069993458","19.6545316192078","24.1332452240779","22.9544501848959","age","30"
"Apr 5, 2017","5.23604234433671","15.7030721969411","21.5238758936203","24.6634729672681","24.8735365978338","age","30"
"Apr 6, 2017","2.97275747508306","23.5722591362126","30.2517349575489","18.1303986710964","17.0728497600591","age","30"
"Apr 7, 2017","4.3533472031635","20.5277706461275","27.8172635120181","15.7705074292122","23.5311112094787","age","30"
"Apr 8, 2017","4.71359912535367","12.2937700655246","16.3298114043836","29.8481141177079","28.8147052870302","age","30"
"Apr 9, 2017","6.08383978481066","9.34623003749219","15.5498973518391","21.963267800161","39.0567650256971","age","30"
"Apr 10, 2017","3.48906323291947","13.9234671216216","17.5840018596697","23.3370808997813","33.6663868860081","age","30"
"Apr 11, 2017","5.31074345708492","13.0405761808201","17.1611171123366","23.321496705643","33.1660665441153","age","30"
"Apr 12, 2017","7.00686868686869","19.3397474747475","14.505101010101","14.9000505050505","36.2482323232323","age","30"
"Apr 13, 2017","4.18299056004556","12.2279781851633","16.3200911141775","20.9865869417614","38.2823531988523","age","30"
"Apr 14, 2017","5.54356618480912","12.6593444220563","15.6230053687681","27.0483408619002","31.1257431624663","age","30"
"Apr 15, 2017","4.03290659080133","13.9279595384859","18.7984194721037","25.1120594278489","30.1286549707602","age","30"
"Apr 16, 2017","5.35208525624694","10.8662682548527","14.39521407787","20.0546878132852","41.3317445977452","age","30"
"Apr 17, 2017","3.25797823193063","25.3243600764404","15.6197012096869","20.3239980380002","27.4739624439419","age","30"
"Apr 18, 2017","6.04398287037349","14.2765024940131","16.1732573181812","29.3464464714153","26.1598108460169","age","30"
"Apr 19, 2017","7.43678608515059","16.7285392869505","13.0929572763685","31.1672291450329","23.5744882064975","age","30"
